NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
65,199593,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165554,0,0,0,0,0,34025,0,0,0,0,0,0
66,196756,0,0,103974,92770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
67,181721,0,0,159064,22657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,193435,0,0,0,0,0,0,0,0,0,0,69834,0,19640,0,0,0,0,0,4791,0,0,0,0,0,58735,40427,0,0,0,0,5,0,0,0,0,0,0,0
69,190688,0,0,0,0,0,0,0,0,0,0,0,0,179737,0,0,0,0,0,10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,181986,0,0,49502,116307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16175,0,0,0,0,0,0
71,186254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174158,0,0,0,0,0,12095,0,0,0,0,0,0,0,0,0,0,0,0,0
72,187775,0,0,0,0,0,0,0,0,0,0,147796,0,0,0,0,0,0,0,36213,0,0,0,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,186911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,160061,0,17,0,0,0,0,8,0,0,0,0,0,0,26821,0,0,0
74,210820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41577,0,0,0,0,0,0,169243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,168667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100156,0,0,0,0,0,0,68511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,190591,0,0,0,0,0,0,141316,0,6309,0,0,0,0,0,0,0,0,0,0,0,0,42964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,205350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204021,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,202842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187937,0,0,0,0,0,0,14905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,201626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192518,0,0,0,0,0,0,9107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,205683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69076,0,0,0,0,136606,0,0,0,0,0,0,0,0,0,0
81,181750,0,0,0,0,0,0,0,0,0,0,162067,0,0,0,0,0,0,0,0,0,0,0,19683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,189762,0,0,0,0,0,0,0,0,0,0,171236,0,0,0,0,0,0,0,18525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,183121,0,0,0,0,0,0,0,0,0,0,0,0,2182,0,0,0,0,0,180939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,189839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
