NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
111,125701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99792,25909,0,0,0,0,0
112,131044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125868,5176,0,0,0,0,0
113,137212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103840,33371,0,0,0,0,0
114,131223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18880,112342,0,0,0,0,0
115,142338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142338,0,0,0,0,0
116,137155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80776,0,0,56379,0,0
117,133545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92099,27256,0,14189,0,0
118,140820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132481,8338,0,0,0,0
119,131679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,131672,0,0,0,0
120,134973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2092,0,132875,0,0
121,140514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122950,0,2,17561,0,0,0,0
122,137954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24501,0,7662,105790,0,0,0,0
123,132949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132949,0,0,0,0,0,0,0
124,135888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60692,0,0,0,75195,0,0,0
125,135855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135853,0,0,0,0,1,0,0
126,134749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88772,0,45976,0,0
127,132354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132340,0,13,0,0
128,123850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123850,0,0,0,0
129,136370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136370,0,0,0,0
130,136462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91330,45132,0
131,132205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21344,0,0,947,0,109913,0,0
132,141063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104454,36607,0,0
133,133498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9551,115564,8382,0
134,133287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133286,0
135,132292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,132286,0
136,139084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139084,0
137,131205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131205,0
138,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138999,0
139,136618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8688,81755,46174,0
140,128497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128497
141,125218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125218
142,124254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63748,0,0,60505
143,128057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27216,0,0,100840
144,137964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60138,61051,0,16775
145,136398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136398
146,128775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,128774
147,139618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104557,35060,0,0
148,131200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131199,0,0,0
149,138208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63531,0,0,74677
150,129930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129930,0,0,0
