candidate_id,state_abbreviation,congressional_district,candidate_party,voteshare,final_voteshare,state_abbreviation,congressional_district,race_total_for,race_total_against,race_total_cands,disbursement,ind_support,ind_oppose,party_expenditures,candidate_diff_spend,result_vs_forecast
"H6FL18097","FL",18,"Republican",55.44,54.3,"FL",18,1.1586115e7,3257425.0,2,2054567.0,1784695.0,1786499.0,95000,0.3641441327338357,-1.1400000000000006
"H4ME02234","ME",2,"Republican",48.99,46.2,"ME",2,8246077.0,1.5992812e7,2,1260533.0,150120.0,1.0592339e7,95000,0.28491924691762893,-2.789999999999999
"H4AR04048","AR",4,"Republican",62.19,66.8,"AR",4,1476694.0,862.0,3,508890.0,0.0,0.0,0,0.34470503994434054,4.609999999999999
"H6PA01165","PA",3,"Democrat",7.92,6.6,"PA",3,1410564.0,89.0,2,3822.0,0.0,0.0,0,2.77247487511103e-3,-1.3200000000000003
"H8WI01156","WI",1,"Republican",49.87,54.6,"WI",1,8.9952573e7,2208737.0,3,1261044.0,39837.0,0.0,96000,2.7139908276043387e-2,4.730000000000004
"H4GA01039","GA",1,"Republican",61.88,57.7,"GA",1,1375765.0,862.0,2,80634.0,0.0,0.0,48768,9.462548678763383e-2,-4.18
"H2MD02160","MD",2,"Democrat",66.93,65.8,"MD",2,1028086.0,0.0,2,123509.0,78.0,0.0,0,0.12021076057839519,-1.1300000000000097
"H8HI00012","HI",1,"Republican",25.84,23.1,"HI",1,109241.0,0.0,2,85963.0,0.0,0.0,9800,0.876621415036479,-2.7399999999999984
"H8MI09092","MI",9,"Republican",36.53,36.8,"MI",9,2106011.0,0.0,2,16114.0,158.0,0.0,0,7.726455369891231e-3,0.269999999999996
"H4FL26038","FL",26,"Republican",50.49,49.1,"FL",26,2.2148118e7,1.2405882e7,2,3228538.0,2237560.0,5926328.0,93078,0.34840336864038896,-1.3900000000000006
"H8WV03097","WV",3,"Republican",55.86,56.4,"WV",3,3714097.0,5207224.0,2,647863.0,12744.0,3314457.0,91215,0.2964346871948672,0.5399999999999991
"H8GA07201","GA",7,"Democrat",47.07,49.9,"GA",7,4274829.0,862.0,2,950246.06,1154144.0,0.0,90000,0.5134262649008079,2.8299999999999983
"H8WA03198","WA",3,"Democrat",44.67,47.3,"WA",3,4306821.0,812933.0,2,2037032.0,1517778.0,806909.0,90000,0.7130877772642983,2.6299999999999955
"H2NY14037","NY",12,"Democrat",81.8,86.2,"NY",12,2538492.0,0.0,3,253536.0,68.0,0.0,0,9.990340721971942e-2,4.400000000000006
"H8TX04162","TX",4,"Democrat",23.51,23.0,"TX",4,819543.0,862.0,3,7417.09,0.0,0.0,0,9.566116735027212e-3,-0.5100000000000016
"H8MI03079","MI",3,"Democrat",39.46,43.2,"MI",3,704616.0,862.0,3,53497.0,0.0,0.0,0,7.644178840445769e-2,3.740000000000002
"H4WA05077","WA",5,"Republican",52.5,54.8,"WA",5,1.4465007e7,65788.0,2,3061845.0,82876.0,36830.0,63894,0.22280769909698678,2.299999999999997
"H8MD03165","MD",3,"Republican",28.95,28.8,"MD",3,752310.0,0.0,3,0.0,0.0,0.0,0,0.0,-0.14999999999999858
"H8CO01162","CO",1,"Republican",25.03,23.0,"CO",1,1342549.0,0.0,3,13837.0,0.0,0.0,0,1.0306513952190944e-2,-2.030000000000001
"H6FL13205","FL",13,"Democrat",63.21,57.6,"FL",13,1776221.0,0.0,2,561309.0,937.0,0.0,0,0.31654056561655336,-5.609999999999999
"H6CA03067","CA",3,"Republican",35.37,42.0,"CA",3,971923.0,0.0,2,16544.0,0.0,0.0,0,1.7021924576329606e-2,6.630000000000003
"H8TN09114","TN",9,"Republican",20.47,19.2,"TN",9,528777.0,0.0,3,32652.0,0.0,0.0,0,6.1750038295916805e-2,-1.2699999999999996
"H8ME01120","ME",1,"Democrat",61.81,58.8,"ME",1,1538462.0,0.0,3,748923.06,61113.0,0.0,0,0.5265232810430157,-3.010000000000005
"H2IL17071","IL",17,"Democrat",65.3,62.1,"IL",17,2791772.0,0.0,2,1391668.0,36.0,0.0,0,0.4985020266697997,-3.1999999999999957
"H8AR01029","AR",1,"Democrat",34.68,28.8,"AR",1,1237773.0,862.0,3,69316.0,0.0,0.0,0,5.630956657933935e-2,-5.879999999999999
"H8TX21307","TX",21,"Republican",51.25,50.2,"TX",21,6847418.0,649139.0,3,430194.0,324943.0,222350.0,0,0.12919684329752978,-1.0499999999999972
"H8NY29032","NY",27,"Republican",54.3,49.4,"NY",27,2715873.0,12306.0,3,671240.0,0.0,6444.0,0,0.24711391737858843,-4.899999999999999
"H8OH13147","OH",13,"Republican",31.59,39.0,"OH",13,1798285.0,0.0,2,41504.0,25000.0,0.0,0,3.698190220126398e-2,7.41
"H8FL12088","FL",12,"Democrat",39.19,39.7,"FL",12,2241273.0,862.0,3,281923.0,25839.0,0.0,0,0.13745514877560897,0.5100000000000051
"H8NH01210","NH",1,"Democrat",51.83,53.5,"NH",1,3295161.0,604142.0,3,895713.0,757864.0,0.0,90000,0.5246188870164745,1.6700000000000017
"H8NJ04014","NJ",4,"Republican",55.7,55.4,"NJ",4,2702936.0,6000.0,2,628460.0,47194.0,0.0,20937,0.2593605016877475,-0.30000000000000426
"H2UT02324","UT",2,"Republican",54.68,56.1,"UT",2,1256721.0,862.0,3,240087.0,0.0,0.0,0,0.19125417566872327,1.4200000000000017
"H8PA06087","PA",6,"Democrat",58.51,58.9,"PA",6,3378142.0,89.0,2,1720289.0,481872.0,89.0,0,0.6518680930936931,0.39000000000000057
"H8CA35115","CA",35,"Republican",26.4,30.6,"CA",35,687100.0,0.0,2,1954.0,0.0,0.0,0,2.84383641391355e-3,4.200000000000003
"H8WA04089","WA",4,"Democrat",38.59,37.2,"WA",4,1488284.0,5477.0,2,203851.0,39910.0,0.0,0,0.1668526625075899,-1.3900000000000006
"H8CA18087","CA",18,"Republican",21.9,25.5,"CA",18,1443343.0,550872.0,2,0.0,0.0,0.0,0,0.27623500976574744,3.6000000000000014
