StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"MA",25,8,762640,149622,124471,148983,145280,66433,26333,67176,34342
"MA",25,9,747923,157661,163217,146131,193245,30716,13885,30057,13011
"MI",26,1,698974,153937,168795,143950,176455,21913,9509,16002,8413
"MI",26,2,737365,172323,133192,171891,146228,42642,12831,43313,14945
"MI",26,3,743830,183687,127092,176482,136868,47096,16695,39264,16646
"MI",26,4,702994,176962,151648,169528,162020,16816,6662,14030,5328
"MI",26,5,677788,133889,121951,128767,137825,51215,22672,50129,31340
"MI",26,6,718436,167653,133192,161648,145888,40092,14320,39216,16427
"MI",26,7,701645,169853,148790,160430,160562,23233,9936,20040,8801
"MI",26,8,736333,175638,134312,168911,148138,39500,13821,41139,14874
"MI",26,9,720890,151231,129139,135361,144066,53570,20028,58762,28733
"MI",26,10,717703,170391,155923,168642,168345,17175,9213,18573,9441
"MI",26,11,727901,151426,137244,145784,155412,48509,20460,46670,22396
"MI",26,12,708060,161551,112508,158138,124923,54607,18310,54097,23926
"MI",26,13,674157,74591,54223,73341,57395,122903,69651,133011,89042
"MI",26,14,696235,65097,54692,58347,58500,139493,73440,144296,102370
"MN",27,1,675755,170184,132775,162702,142207,28628,5414,26368,7477
"MN",27,2,705074,167832,124653,162012,136987,46066,12235,42503,12786
"MN",27,3,714299,145523,132277,144484,150731,54609,15246,53713,17716
"MN",27,4,714075,135816,108793,133145,126279,81011,22356,84647,22028
"MN",27,5,721389,141478,92558,136991,100307,101987,26402,96367,25299
"MN",27,6,716009,191992,132328,180038,137472,30119,6513,31160,6387
"MN",27,7,662695,161217,141270,151550,148041,25437,7015,22279,5886
"MN",27,8,667310,161468,151229,150248,155878,20163,6120,16396,5808
"MS",28,1,764896,144112,111264,142512,123696,82437,34179,83161,43535
"MS",28,2,701238,52817,51820,51037,58109,155549,75411,163086,93409
"MS",28,3,749247,126031,96171,120024,109396,95737,45260,98258,58370
"MS",28,4,768719,152789,118292,148893,128924,72349,32255,76592,38625
"MO",29,1,729026,86763,66900,85037,73186,129609,60071,143119,84341
"MO",29,2,764043,172068,154130,167968,180619,32242,13387,28233,15396
"MO",29,3,792954,211388,154960,200886,166184,22955,6903,20199,9479
"MO",29,4,769533,200813,139849,188948,156725,33605,10299,28345,10949
"MO",29,5,770628,148674,111084,142532,123122,82484,34418,85512,42802
"MO",29,6,773740,192670,144939,190996,161313,30049,10679,31674,11420
"MO",29,7,777380,201617,145996,199465,165230,24750,8627,23382,8313
"MO",29,8,736228,187082,152382,174796,165275,22819,8482,16203,9189
"MT",30,0,1050493,255945,213196,240635,220772,42056,15160,45892,16837
"NE",31,1,648060,173100,113186,164336,122495,31638,7633,27719,7953
"NE",31,2,668800,169517,100726,163511,111476,46795,14295,46143,16337
"NE",31,3,603216,151876,125856,146125,134888,20127,4524,14963,4857
"NV",32,1,720730,95042,86117,88184,77792,131754,53482,125179,63180
