StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMalePct,OldWhiteMalePct,YoungWhiteFemalePct,OldWhiteFemalePct,YoungNonWhiteMalePct,OldNonWhiteMalePct,YoungNonWhiteFemalePct,OldNonWhiteFemalePct
"FL",12,11,770114,0.15237354469598008,0.2657710416899316,0.15535621998820953,0.3029759230451595,3.864882342094807e-2,2.1920131305235332e-2,3.7437314475519214e-2,2.5517001379016614e-2
"FL",12,12,779151,0.202771991565178,0.2219903459021422,0.1989062453876078,0.25524064013265724,3.9736841767513624e-2,2.0119335019784353e-2,3.723668454510101e-2,2.3997915680015813e-2
"FL",12,13,730650,0.16584000547457742,0.21292000273728873,0.16306576336139053,0.23908574556901388,6.788202285636077e-2,3.314719770067748e-2,7.782522411551358e-2,4.0234038185177574e-2
"FL",12,14,776940,0.20815120858753572,0.14465338378767986,0.2027428115427189,0.15909207918243365,9.300718202177775e-2,4.410379179859449e-2,9.929853013102685e-2,4.895101294823282e-2
"FL",12,15,804652,0.19850941773586597,0.15570457787962996,0.2051122721375203,0.17522357491188736,0.10058509765712384,3.0200633317260132e-2,9.471050839369069e-2,3.995391796702177e-2
"FL",12,16,814209,0.19054935526382047,0.2211410092494679,0.17536160862874275,0.2543880011151928,5.150888776714578e-2,2.3077612750534573e-2,5.7752984798743315e-2,2.6220540426352447e-2
"FL",12,17,778091,0.17219579714969072,0.25402427222522816,0.167336468356529,0.27314928459524657,4.497931475881356e-2,2.22351884291169e-2,4.297440787774181e-2,2.3105266607633297e-2
"FL",12,18,772184,0.17427970535520032,0.2152220196222662,0.16955932782860045,0.24435108730561628,6.394201382054018e-2,3.174631953006019e-2,6.1626503527656626e-2,3.9273023010059784e-2
"FL",12,19,814074,0.16820952394991118,0.24738537282851436,0.16138827674142645,0.27825848755764215,5.0183398560818805e-2,1.9589128261067176e-2,5.1225072904920184e-2,2.3760739195699654e-2
"FL",12,20,776092,0.11580585806837332,8.32298232683754e-2,9.717662339001047e-2,8.976126541698666e-2,0.19481710931178264,9.468336228179133e-2,0.20678862815233243,0.11773733011034776
"FL",12,21,788240,0.16468841977062823,0.201110067999594,0.1622018674515376,0.2306505632802192,8.537374403734903e-2,3.4701359991880655e-2,7.729625494773165e-2,4.3977722521059574e-2
"FL",12,22,757352,0.17214452460678786,0.2098654258521797,0.17206398081737423,0.21146045696056787,7.724281443767232e-2,3.638466657511963e-2,7.723885326770115e-2,4.359927748259726e-2
"FL",12,23,753950,0.18123085085217852,0.16630545792161283,0.17947078718747927,0.19414815306054775,9.00245374361695e-2,4.06989853438557e-2,9.648385171430468e-2,5.1637376483851714e-2
"FL",12,24,770480,0.13320267884954834,8.805160419478765e-2,0.12195644273699512,9.374415948499637e-2,0.17567749974042154,8.986216384591425e-2,0.18113124286159277,0.11637420828574396
"FL",12,25,780826,0.23795570331930543,0.20603694036827663,0.2314241585193116,0.22867962900825536,2.847369324279673e-2,1.7568574816924643e-2,2.9813300274324887e-2,2.004800045080466e-2
"FL",12,26,797160,0.24177956746449897,0.16010211249937278,0.2269845451352301,0.18903106026393696,6.037432886747955e-2,2.95110141000552e-2,5.6534447287871936e-2,3.568292438155452e-2
"FL",12,27,755809,0.23247010818870903,0.1810880791311032,0.22316352411786575,0.22311986229325137,4.4123581486857126e-2,2.4825055007283586e-2,4.1955044197674284e-2,2.925474557725563e-2
"GA",13,1,747334,0.1877072366572376,0.12787588949519224,0.17679779054612796,0.14158328137084625,0.12301327117460198,5.230860632595333e-2,0.12561451773905644,6.509940669098421e-2
"GA",13,2,674100,0.11930574098798398,9.360480640854472e-2,0.10429758196113335,0.10614003856994512,0.18374425159471888,8.795430944963656e-2,0.19527814864263465,0.10967512238540277
"GA",13,3,738066,0.1929813864884712,0.15008007413971108,0.18633834914492745,0.16368725832107156,9.841531787130148e-2,4.7651565036189183e-2,0.10153563502451,5.931041397381806e-2
"GA",13,4,765854,7.006818531991738e-2,6.133283889618648e-2,6.56900662528367e-2,6.818662564927519e-2,0.23155196682396384,0.10680495237995752,0.25087157604452026,0.14549378863334264
"GA",13,5,784370,0.10781646416869588,5.4564809974884304e-2,0.10703494524267884,5.0272192970154395e-2,0.21957622040618585,9.97118706732792e-2,0.22867524255134697,0.1323482540127746
"GA",13,6,756389,0.18156398361160725,0.15198528799334737,0.17725535405723775,0.16638528587803367,0.11328694626706629,4.06669055208365e-2,0.12322231021339548,4.5633926458475735e-2
"GA",13,7,807492,0.15881271888761747,0.10737072317744324,0.1565427273582896,0.1209126530046118,0.16394094306816662,6.238947258920212e-2,0.16091057248864385,6.912018942602527e-2
"GA",13,8,702262,0.17314620469283545,0.1341749945177156,0.16834600191951152,0.14862116987676963,0.1319635691522537,5.480433228624075e-2,0.12263656584009956,6.630716171457376e-2
"GA",13,9,755181,0.2362983178867053,0.19674885888283736,0.230489114530159,0.21433272288365307,3.9692471076470406e-2,2.0704970066778693e-2,3.768368113074879e-2,2.4049863542647393e-2
"GA",13,10,736838,0.19782095928820176,0.14238000754575633,0.1960960211064033,0.1518624175191833,9.999348567799164e-2,4.748940744098432e-2,0.10593237590895148,5.8425325512527854e-2
"GA",13,11,768968,0.2212549807014076,0.14984238615911194,0.21025322250080627,0.1646908583972285,8.78983260681849e-2,3.227702583202422e-2,9.335629050883781e-2,4.042690983239875e-2
"GA",13,12,722937,0.16909080597617773,0.11712915509926868,0.15925869059129633,0.1327819713197692,0.14441645675902604,6.1680340057294065e-2,0.13727060587575404,7.837197432141389e-2
"GA",13,13,752631,8.524496067794178e-2,6.808914328535498e-2,8.16110417987035e-2,7.657138757239604e-2,0.22168499570174496,9.49615415788082e-2,0.24399207579810023,0.1278448535869503
"GA",13,14,716957,0.2449198487496461,0.17139242660299014,0.24555865972436283,0.1924592409307671,4.770578988698067e-2,1.8267483266081512e-2,5.631997455914371e-2,2.3376576280027952e-2
"HI",15,1,714328,6.13373688277654e-2,3.7423984500117594e-2,4.7305999484830503e-2,3.0560190836702472e-2,0.23096392693552545,0.1679088597955001,0.2234855696542765,0.20101409996528205
"HI",15,2,713210,8.782125881577656e-2,8.298677808780022e-2,7.504662021003633e-2,7.795319751545829e-2,0.21679028617097348,0.1183900954837986,0.20286591606960083,0.13814584764655571
"ID",16,1,890052,0.25818716209839426,0.18900468736658085,0.24816752279642088,0.2025128868875077,4.0617851541258264e-2,1.2339728465303151e-2,3.451034321590199e-2,1.4659817628632934e-2
