Year,Group,Population,Citizen,Registered,RegisteredPct,NotRegistered,NotRegisteredPct,NoResponeToRegistration,NoResponseToRegistrationPct,Voted,VotedPct,NotVoted,NotVotedPct,NoResponseVoted,NoResponseVotedPct,RegisteredPctOfAll,VotedPctOfAll
2014,F65To74AD,1623,1605,1378,85.9,37,2.3,190,11.8,1239,77.2,169,10.5,197,12.3,85.0,76.4
2014,M75AndOverL9,736,649,388,59.8,158,24.3,104,16.0,251,38.7,308,47.4,90,13.9,52.7,34.1
2014,M75AndOverL12,763,739,522,70.7,118,16.0,99,13.3,368,49.8,282,38.2,89,12.0,68.4,48.2
2014,M75AndOverHS,2509,2464,1845,74.9,259,10.5,360,14.6,1462,59.3,661,26.8,342,13.9,73.5,58.3
2014,M75AndOverSC,1551,1517,1184,78.1,127,8.4,206,13.6,949,62.6,359,23.7,209,13.8,76.3,61.2
2014,M75AndOverBA,1193,1174,946,80.6,63,5.3,165,14.1,847,72.1,170,14.5,157,13.4,79.3,71.0
2014,M75AndOverAD,1069,1050,887,84.5,41,4.0,121,11.5,796,75.8,136,12.9,118,11.2,83.0,74.5
2014,F75AndOverL9,1052,918,499,54.4,295,32.1,124,13.5,288,31.4,536,58.3,95,10.3,47.5,27.4
2014,F75AndOverL12,1255,1237,800,64.7,250,20.2,188,15.2,495,40.0,572,46.2,171,13.8,63.8,39.4
2014,F75AndOverHS,4589,4478,3301,73.7,600,13.4,577,12.9,2325,51.9,1625,36.3,528,11.8,71.9,50.7
2014,F75AndOverSC,2337,2314,1799,77.7,152,6.6,363,15.7,1450,62.6,529,22.8,336,14.5,77.0,62.0
2014,F75AndOverBA,1169,1150,909,79.0,83,7.2,158,13.8,741,64.4,259,22.5,150,13.1,77.8,63.4
2014,F75AndOverAD,729,718,569,79.2,25,3.5,124,17.3,501,69.7,90,12.6,127,17.7,78.0,68.7
2016,M18To24L9,266,169,13,7.5,78,46.3,78,46.2,9,5.5,82,48.3,78,46.2,4.7,3.5
2016,M18To24L12,2079,1862,567,30.5,796,42.7,499,26.8,390,20.9,988,53.0,485,26.0,27.3,18.7
2016,M18To24HS,5149,4737,2274,48.0,1504,31.7,959,20.2,1648,34.8,2195,46.3,894,18.9,44.2,32.0
2016,M18To24SC,5820,5427,3422,63.1,1028,18.9,977,18.0,2600,47.9,1836,33.8,990,18.2,58.8,44.7
2016,M18To24BA,1371,1229,877,71.4,150,12.2,202,16.5,715,58.2,323,26.3,190,15.5,64.0,52.2
2016,M18To24AD,138,107,47,43.8,24,22.2,36,33.9,47,43.5,24,22.5,36,33.9,34.2,33.9
2016,F18To24L9,189,153,3,1.9,74,48.5,76,49.5,2,1.6,75,48.9,76,49.5,1.6,1.3
2016,F18To24L12,1479,1357,444,32.7,517,38.1,397,29.2,311,23.0,678,49.9,368,27.1,30.0,21.1
2016,F18To24HS,4125,3682,1795,48.8,1190,32.3,696,18.9,1355,36.8,1655,45.0,671,18.2,43.5,32.9
2016,F18To24SC,6565,6227,4062,65.2,1112,17.9,1052,16.9,3280,52.7,1940,31.2,1008,16.2,61.9,50.0
2016,F18To24BA,1962,1824,1315,72.1,169,9.3,340,18.6,1134,62.2,342,18.7,349,19.1,67.0,57.8
2016,F18To24AD,178,139,86,62.3,7,5.2,45,32.5,68,48.8,33,24.1,38,27.1,48.6,38.1
2016,M25To44L9,1456,396,92,23.2,200,50.4,105,26.4,58,14.7,239,60.3,99,24.9,6.3,4.0
2016,M25To44L12,2788,1939,660,34.0,861,44.4,418,21.6,409,21.1,1145,59.1,384,19.8,23.7,14.7
2016,M25To44HS,12085,10555,5395,51.1,2945,27.9,2215,21.0,4045,38.3,4529,42.9,1981,18.8,44.6,33.5
2016,M25To44SC,10759,10024,6728,67.1,1672,16.7,1623,16.2,5474,54.6,3021,30.1,1529,15.3,62.5,50.9
2016,M25To44BA,9515,8646,6710,77.6,791,9.1,1145,13.2,5919,68.5,1565,18.1,1162,13.4,70.5,62.2
2016,M25To44AD,4661,3872,3133,80.9,263,6.8,475,12.3,2877,74.3,522,13.5,473,12.2,67.2,61.7
