StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGradPct,AverageHouseholdSize,PovertyRate
"GA",13,4,765854,57349.0,36.4,0.18288882569241569,2.9,0.14245855402000598
"GA",13,5,784370,51810.0,33.0,0.23309544739520682,2.45,0.19166796436606937
"GA",13,6,756389,92317.0,37.8,0.3824431250502429,2.64,7.184317204958054e-2
"GA",13,7,807492,74868.0,36.1,0.28321447729942684,3.04,0.10027281380457838
"GA",13,8,702262,45279.0,37.5,0.13372391884596607,2.63,0.19748946069459042
"GA",13,9,755181,56754.0,41.4,0.14581000508628308,2.82,0.1340879835838661
"GA",13,10,736838,53479.0,36.4,0.15420641767312832,2.73,0.1570805415033643
"GA",13,11,768968,72445.0,36.9,0.26666705333959745,2.64,9.80678831846615e-2
"GA",13,12,722937,43177.0,35.9,0.13095278955226441,2.79,0.19698689580907777
"GA",13,13,752631,55682.0,36.1,0.1692464250462929,2.79,0.12827234285222405
"GA",13,14,716957,50132.0,37.8,0.1046846210151695,2.75,0.14662388412761143
"HI",15,1,714328,80083.0,39.7,0.2341200934679615,2.95,7.855222212151425e-2
"HI",15,2,713210,75289.0,38.6,0.1998691777387558,3.09,0.11240412360430357
"ID",16,1,890052,53561.0,38.2,0.17429438142970194,2.7,0.1254111204862845
"ID",16,2,826891,51307.0,34.2,0.1916305400544205,2.7,0.13130307237219707
"IL",17,1,720977,50744.0,38.7,0.15996141115553517,2.62,0.17849675081300126
"IL",17,2,702756,50391.0,37.9,0.13319138920260076,2.73,0.18685130597715152
"IL",17,3,725538,65230.0,37.7,0.18863908719387912,2.91,9.986144917729332e-2
"IL",17,4,700585,53955.0,33.7,0.1703314636492343,3.15,0.1579996266888739
"IL",17,5,729300,82210.0,35.6,0.33942124611179186,2.41,7.900935197982219e-2
"IL",17,6,720542,98889.0,40.4,0.3250811630847029,2.71,5.2376680100911524e-2
"IL",17,7,697263,58444.0,34.6,0.23228303521273116,2.33,0.21180364774681393
"IL",17,8,713012,69386.0,37.3,0.21823461829114196,2.79,9.046320215261253e-2
"IL",17,9,732614,70552.0,40.2,0.3171066395439053,2.46,0.12191559991686934
"IL",17,10,714681,80229.0,38.2,0.25405705762173286,2.75,8.622748982739266e-2
"IL",17,11,721823,75446.0,36.9,0.2236422736103172,2.88,8.296656964121125e-2
"IL",17,12,695178,48570.0,39.5,0.13490620204403336,2.44,0.18233579125473356
"IL",17,13,698295,51129.0,36.6,0.18198614318706696,2.32,0.18878521743101112
"IL",17,14,746748,92461.0,39.2,0.2630681347459117,2.84,5.323896482792155e-2
"IL",17,15,701482,52527.0,40.6,0.1293350361433832,2.43,0.13649953780022583
"IL",17,16,690420,60326.0,40.3,0.13352998020871576,2.49,0.11044145260711927
"IL",17,17,689744,48036.0,40.7,0.12688097196734796,2.36,0.16581000390074113
"IL",17,18,701065,65048.0,40.5,0.21824328929405665,2.44,9.322366074980917e-2
"IN",18,1,714257,56293.0,39.2,0.15677376451608932,2.56,0.14790476628317262
"IN",18,2,722928,53440.0,37.9,0.13848119974650872,2.6,0.13695731328578467
"IN",18,3,744914,53197.0,37.2,0.15189948620455124,2.56,0.1197636411768014
"IN",18,4,758815,56721.0,36.8,0.16477857457895684,2.55,0.1251728001830338
"IN",18,5,781441,71573.0,38.5,0.2972668103010682,2.52,8.214986269125148e-2
"IN",18,6,720147,52636.0,40.3,0.14435334079037837,2.48,0.13099435698497255
"IN",18,7,755875,42630.0,33.5,0.15739749348758025,2.58,0.19745544804625378
"IN",18,8,714623,50666.0,39.1,0.14095414413613983,2.41,0.14403498342990095
"IN",18,9,753818,54504.0,38.0,0.16420276643811185,2.5300000000000002,0.13133530879686567
"IA",19,1,774043,57295.0,39.1,0.18682693458644004,2.42,0.1047107038827482
"IA",19,2,780802,54758.0,38.2,0.18494694446595927,2.45,0.12325430227031721
"IA",19,3,835190,65023.0,37.1,0.2260134777609769,2.5,8.899019218430139e-2
"IA",19,4,755676,55496.0,39.2,0.17598089212577092,2.32,0.11394185596639585
"KS",20,1,702327,49380.0,35.4,0.1681351694658951,2.46,0.13854069097802657
"KS",20,2,715120,53483.0,37.9,0.18347698592289374,2.41,0.12755027667477156
"KS",20,3,770493,74120.0,36.7,0.2922611555087185,2.6,7.919085132619641e-2
"KS",20,4,725183,53657.0,36.7,0.1944749328785397,2.56,0.13523308085908095
"KY",21,1,716177,41930.0,40.3,9.30049208076912e-2,2.49,0.18035601796346346
"KY",21,2,760681,50289.0,38.4,0.11539893507000053,2.5300000000000002,0.14940610955867856
"KY",21,3,746559,53677.0,37.9,0.18908629687739392,2.4,0.1402712145534567
"KY",21,4,760043,62095.0,39.0,0.17481619747081523,2.66,0.11896677258418559
"KY",21,5,696337,31731.0,40.9,7.188098058871777e-2,2.52,0.29103339727509714
"KY",21,6,774392,52156.0,37.1,0.19078083286240427,2.45,0.1657367183185785
"LA",22,1,808968,58199.0,38.3,0.1965811502722618,2.61,0.14151259445843828
"LA",22,2,797298,37340.0,36.6,0.13769340185116843,2.64,0.2705352932181458
